"instagram","nazwa","miasto","email","email_status","telefon","telefon_status","lokal_status","osoba","www","uwaga","zrodlo"
"piripirikebab","Piri-Piri Kebab","Lublin","","BRAK","889 889 005","OK","OK","Michał Dudziak","https://piripirikebab.pl/","","https://piripirikebab.pl/kontakt/"
"akukurestauracja","Restauracja Akuku","Kazimierz Dolny","","BRAK","+48 534 233 303","OK","OK","","","","https://restaurantguru.com/Akuku-Kazimierz-Dolny"
"yummysweetspl","Yummy Sweets","Lublin","mhciasteczko@gmail.com","OK","+48 537 022 364","NIE","OK","Monika Hodała Vel Pietraś","http://www.yummysweets.pl","telefon na stronie inny/ukryty (widoczne 502 539...)","https://panoramafirm.pl/lubelskie,,lublin,g%C5%82%C3%B3wna,41/monika_hodala_vel_pietras_yummy_sweets-znzfgl_ptb.html"
"pizzalover_pl","Pizza Lover","Lublin","shadow0707@o2.pl","OK","+48690652565","OK","OK","","https://www.pizzaloverlublin.pl/","","https://pizzalover.eatbu.com/"
"pelier_bistro","Pelier","Lublin","pelier@pelier.pl","OK","+48 572 658 882","OK","OK","","https://pelier.pl/","","https://pelier.pl/kontakt/"
"queenmama.lublin","Queen Mama Lublin","Lublin","kontakt@queenmama.pl","OK","","BRAK","OK","Enzo Muratore","https://queenmama.pl/","","https://queenmama.pl/queenmama/"
"ostro_ristoteca","OSTRO","Lublin","ostro.ristoteca@gmail.com","OK","791 792 849","OK","OK","","https://ristoteca.pl/","","https://ristoteca.pl/kontakt/"
"chisza","CHISZA","Lublin","lublin@chisza.pl","OK","814652404","OK","OK","","https://chisza.pl/","","https://chisza.pl/kontakt/"
"kukulkacukiernia","Kukułka Cukiernie w Warszawie","Warszawa","zamowienia@kukulkacukiernia.pl","OK","+48 883 088 099","OK","OK","","https://kukulkacukiernia.pl/","","https://kukulkacukiernia.pl/"
"nocny.portier","Nocny Portier","Lublin","biuro@spektrumbar.com","OK","+48 452 836 820","OK","OK","","https://nocnyportier.pl/","miasto nie podane wprost na stronie ale adres (Jana Gilasa 1) wskazuje Lublin","https://nocnyportier.pl/kontakt/"
"dobrapaczkarnia","Dobra Pączkarnia","Rzeszów","kontakt@dobrapaczkarnia.pl","OK","508 577 886","OK","INNY","Krzysztof Jakubowski","https://dobrapaczkarnia.pl/","strona kontaktowa wskazuje Szczecin (ul. 5 lipca 46) zamiast Rzeszów - do weryfikacji recznej","https://dobrapaczkarnia.pl/kontakt/"
"spokojna2","Spokojna2","Lublin","","BRAK","570 967 112","OK","OK","","https://spokojna2.com/","","https://www.gdziezjesc.info/lublin/spokojna2"
"bombardino_trattoria","Bombardino Trattoria Węglin","Lublin","bombardino.restauracja@gmail.com","OK","797 797 370","OK","OK","","https://bombardino.lublin.pl/","","https://bombardino.lublin.pl/kontakt/"
"anabilis_lublin","Anabilis","Lublin","","BRAK","+48 667 000 012","OK","OK","","","","https://biznes-top.pl/lublin/kawiarnia/anabilis/"
"bona.lublin","Restauracja Bona","Lublin","bona.rezerwacje@gmail.com","OK","+48 881 334 772","OK","OK","","https://restauracjabona.pl/","","https://restauracjabona.pl/kontakt/"
"cukierniachelminska","Cukiernia Chełmińska","Radom","cukierniachelminska@gmail.com","OK","+48 790 808 022","OK","OK","","https://cukierniachelminska.pl","","https://cukierniachelminska.pl/kontakt/"
